TEAM_ID, OFF_RATING, DEF_RATING, NET_RATING, AST_PCT, AST_TOV, AST_RATIO, OREB_PCT, DREB_PCT, REB_PCT, TM_TOV_PCT, EFG_PCT, TS_PCT, USG_PCT, PACE, PACE_PER40, POSS, PIE, HOME, TEAM_ID_O, OFF_RATING_O, DEF_RATING_O, NET_RATING_O, AST_PCT_O, AST_TOV_O, AST_RATIO_O, OREB_PCT_O, DREB_PCT_O, REB_PCT_O, TM_TOV_PCT_O, EFG_PCT_O, TS_PCT_O, USG_PCT_O ,PACE_O, PACE_PER40_O, POSS_O, PIE_O, HOME_O, LABEL
1610612750.0, 119.0, 107.6, 11.4, 0.659, 1.93, 18.4, 0.321, 0.643, 0.486, 13.3, 0.539, 0.591, 1.0, 105.0, 87.5, 105.0, 0.566, 0.0, 1610612737.0, 107.6, 119.0, -11.4, 0.634, 1.44, 17.4, 0.357, 0.679, 0.514, 17.1, 0.489, 0.536, 1.0, 105.0, 87.5, 105.0, 0.434, 1.0, 1
1610612761.0, 119.0, 114.9, 4.1, 0.55, 1.29, 15.7, 0.36, 0.773, 0.553, 17.0, 0.528, 0.588, 1.0, 100.5, 83.75, 100.0, 0.483, 0.0, 1610612737.0, 114.9, 119.0, -4.1, 0.681, 2.13, 22.6, 0.227, 0.64, 0.447, 14.9, 0.6, 0.612, 1.0, 100.5, 83.75, 101.0, 0.517, 1.0, 1
1610612765.0, 129.3, 105.1, 24.2, 0.612, 1.58, 21.5, 0.368, 0.66, 0.534, 19.2, 0.701, 0.705, 1.0, 98.5, 82.08, 99.0, 0.621, 0.0, 1610612737.0, 105.1, 129.3, -24.2, 0.684, 1.3, 18.4, 0.34, 0.632, 0.466, 20.4, 0.489, 0.539, 1.0, 98.5, 82.08, 98.0, 0.379, 1.0, 1
1610612749.0, 120.5, 112.4, 8.1, 0.543, 1.32, 17.1, 0.213, 0.778, 0.515, 17.0, 0.626, 0.662, 1.0, 112.5, 93.75, 112.0, 0.532, 0.0, 1610612737.0, 112.4, 120.5, -8.1, 0.614, 2.08, 18.0, 0.222, 0.787, 0.485, 11.5, 0.531, 0.579, 1.0, 112.5, 93.75, 113.0, 0.468, 1.0, 1
1610612747.0, 120.8, 100.0, 20.8, 0.553, 1.53, 18.7, 0.295, 0.667, 0.495, 16.8, 0.612, 0.635, 1.0, 101.0, 84.17, 101.0, 0.642, 0.0, 1610612737.0, 100.0, 120.8, -20.8, 0.432, 0.8, 12.0, 0.333, 0.705, 0.505, 19.8, 0.477, 0.521, 1.0, 101.0, 84.17, 101.0, 0.358, 1.0, 1
1610612746.0, 137.6, 92.7, 45.0, 0.6, 1.43, 18.8, 0.467, 0.705, 0.604, 19.3, 0.629, 0.692, 1.0, 109.0, 90.83, 109.0, 0.73, 0.0, 1610612737.0, 92.7, 137.6, -45.0, 0.559, 1.0, 13.2, 0.295, 0.533, 0.396, 17.4, 0.411, 0.475, 1.0, 109.0, 90.83, 109.0, 0.27, 1.0, 1
1610612756.0, 114.3, 100.0, 14.3, 0.78, 1.6, 20.8, 0.217, 0.673, 0.465, 17.9, 0.571, 0.629, 1.0, 112.0, 93.33, 112.0, 0.556, 0.0, 1610612737.0, 100.0, 114.3, -14.3, 0.625, 1.14, 16.5, 0.327, 0.783, 0.535, 19.6, 0.484, 0.537, 1.0, 112.0, 93.33, 112.0, 0.444, 1.0, 1
1610612743.0, 121.0, 125.0, -4.0, 0.674, 10.33, 21.0, 0.322, 0.619, 0.446, 3.0, 0.495, 0.532, 1.0, 100.0, 83.33, 100.0, 0.485, 0.0, 1610612737.0, 125.0, 121.0, 4.0, 0.682, 2.0, 21.0, 0.381, 0.678, 0.554, 15.0, 0.62, 0.638, 1.0, 100.0, 83.33, 100.0, 0.515, 1.0, 2
1610612757.0, 109.7, 101.8, 7.9, 0.422, 1.12, 12.5, 0.359, 0.701, 0.534, 15.0, 0.49, 0.533, 1.0, 101.43, 84.53, 113.0, 0.57, 0.0, 1610612737.0, 101.8, 109.7, -7.9, 0.5, 1.31, 13.8, 0.299, 0.641, 0.466, 14.4, 0.457, 0.491, 1.0, 101.43, 84.53, 111.0, 0.43, 1.0, 1
1610612758.0, 131.5, 118.5, 13.0, 0.643, 1.8, 21.1, 0.286, 0.636, 0.481, 16.3, 0.671, 0.706, 1.0, 92.0, 76.67, 92.0, 0.563, 0.0, 1610612737.0, 118.5, 131.5, -13.0, 0.5, 1.77, 17.8, 0.364, 0.714, 0.519, 14.1, 0.58, 0.585, 1.0, 92.0, 76.67, 92.0, 0.437, 1.0, 1
1610612741.0, 104.6, 87.7, 16.9, 0.634, 1.3, 18.6, 0.174, 0.854, 0.521, 18.5, 0.579, 0.602, 1.0, 107.0, 89.17, 108.0, 0.629, 0.0, 1610612737.0, 87.7, 104.6, -16.9, 0.6, 0.75, 13.7, 0.146, 0.826, 0.479, 22.6, 0.446, 0.52, 1.0, 107.0, 89.17, 106.0, 0.371, 1.0, 1
