'TEAM_ID', 'FGA', 'FG_PCT', 'FG3A', 'FG3_PCT', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'AST', 'STL', 'BLK', 'TO', 'PF', 'PTS', 'HOME', 'TEAM_ID_O', 'FGA_O', 'FG_PCT_O', 'FG3A_O', 'FG3_PCT_O', 'FTA_O', 'FT_PCT_O', 'OREB_O', 'DREB_O', 'AST_O', 'STL_O', 'BLK_O', 'TO_O', 'PF_O', 'PTS_O', 'HOME_O'
1610612749.0, 80.0, 0.438, 16.0, 0.375, 27.0, 0.667, 10.0, 32.0, 21.0, 7.0, 5.0, 17.0, 30.0, 94.0, 0.0, 1610612737.0, 83.0, 0.41, 14.0, 0.214, 39.0, 0.769, 14.0, 33.0, 13.0, 9.0, 4.0, 14.0, 25.0, 101.0, 1.0, 2
1610612741.0, 73.0, 0.466, 3.0, 0.0, 28.0, 0.821, 13.0, 29.0, 16.0, 9.0, 4.0, 17.0, 26.0, 91.0, 0.0, 1610612737.0, 72.0, 0.389, 12.0, 0.333, 32.0, 0.688, 12.0, 26.0, 8.0, 9.0, 4.0, 17.0, 26.0, 82.0, 1.0, 1
1610612764.0, 82.0, 0.329, 8.0, 0.25, 22.0, 0.864, 10.0, 28.0, 14.0, 13.0, 6.0, 15.0, 26.0, 75.0, 0.0, 1610612737.0, 81.0, 0.481, 9.0, 0.556, 30.0, 0.633, 16.0, 34.0, 19.0, 5.0, 9.0, 20.0, 25.0, 102.0, 1.0, 2
1610612753.0, 93.0, 0.452, 19.0, 0.421, 29.0, 0.759, 24.0, 30.0, 26.0, 8.0, 3.0, 20.0, 28.0, 114.0, 0.0, 1610612737.0, 78.0, 0.436, 11.0, 0.182, 32.0, 0.688, 13.0, 25.0, 20.0, 10.0, 8.0, 20.0, 35.0, 92.0, 1.0, 1
1610612755.0, 75.0, 0.373, 9.0, 0.222, 32.0, 0.563, 13.0, 41.0, 11.0, 9.0, 8.0, 16.0, 16.0, 76.0, 0.0, 1610612737.0, 77.0, 0.351, 19.0, 0.316, 9.0, 0.778, 6.0, 30.0, 16.0, 11.0, 6.0, 13.0, 27.0, 67.0, 1.0, 1
1610612752.0, 71.0, 0.408, 15.0, 0.467, 11.0, 0.818, 8.0, 22.0, 16.0, 10.0, 4.0, 13.0, 24.0, 74.0, 0.0, 1610612737.0, 68.0, 0.397, 15.0, 0.333, 22.0, 0.864, 15.0, 27.0, 15.0, 7.0, 7.0, 19.0, 16.0, 78.0, 1.0, 2
1610612750.0, 62.0, 0.468, 10.0, 0.4, 34.0, 0.941, 5.0, 31.0, 12.0, 8.0, 3.0, 17.0, 27.0, 94.0, 0.0, 1610612737.0, 72.0, 0.417, 14.0, 0.214, 27.0, 0.778, 8.0, 24.0, 12.0, 7.0, 4.0, 16.0, 27.0, 84.0, 1.0, 1
1610612738.0, 79.0, 0.443, 21.0, 0.476, 34.0, 0.765, 17.0, 22.0, 22.0, 10.0, 2.0, 12.0, 18.0, 106.0, 0.0, 1610612737.0, 73.0, 0.507, 17.0, 0.471, 20.0, 0.85, 7.0, 26.0, 18.0, 8.0, 4.0, 17.0, 24.0, 99.0, 1.0, 1
1610612749.0, 71.0, 0.465, 19.0, 0.474, 20.0, 0.45, 10.0, 27.0, 20.0, 9.0, 5.0, 12.0, 23.0, 84.0, 0.0, 1610612737.0, 69.0, 0.391, 15.0, 0.333, 23.0, 0.652, 14.0, 29.0, 17.0, 8.0, 2.0, 22.0, 23.0, 74.0, 1.0, 1
1610612757.0, 73.0, 0.507, 6.0, 0.167, 33.0, 0.667, 13.0, 21.0, 14.0, 10.0, 6.0, 18.0, 21.0, 97.0, 0.0, 1610612737.0, 75.0, 0.493, 16.0, 0.375, 30.0, 0.633, 9.0, 23.0, 12.0, 9.0, 2.0, 16.0, 27.0, 99.0, 1.0, 2
1610612746.0, 73.0, 0.589, 16.0, 0.563, 25.0, 0.8, 9.0, 21.0, 21.0, 10.0, 10.0, 20.0, 25.0, 115.0, 0.0, 1610612737.0, 70.0, 0.529, 13.0, 0.462, 28.0, 0.929, 5.0, 17.0, 20.0, 11.0, 4.0, 17.0, 23.0, 106.0, 1.0, 1
1610612756.0, 88.0, 0.409, 15.0, 0.267, 21.0, 0.571, 16.0, 34.0, 21.0, 14.0, 10.0, 17.0, 19.0, 88.0, 0.0, 1610612737.0, 81.0, 0.407, 7.0, 0.286, 16.0, 0.688, 12.0, 32.0, 18.0, 9.0, 10.0, 20.0, 19.0, 79.0, 1.0, 1
1610612757.0, 83.0, 0.482, 19.0, 0.421, 11.0, 0.818, 10.0, 33.0, 27.0, 6.0, 15.0, 18.0, 25.0, 97.0, 0.0, 1610612737.0, 84.0, 0.369, 12.0, 0.25, 30.0, 0.767, 16.0, 30.0, 19.0, 8.0, 1.0, 13.0, 18.0, 88.0, 1.0, 1
1610612763.0, 79.0, 0.392, 6.0, 0.167, 47.0, 0.723, 14.0, 33.0, 20.0, 11.0, 4.0, 14.0, 22.0, 97.0, 0.0, 1610612737.0, 80.0, 0.4, 9.0, 0.444, 24.0, 0.792, 12.0, 32.0, 17.0, 11.0, 9.0, 22.0, 36.0, 87.0, 1.0, 1
1610612753.0, 73.0, 0.507, 14.0, 0.286, 35.0, 0.829, 15.0, 25.0, 14.0, 5.0, 6.0, 22.0, 23.0, 107.0, 0.0, 1610612737.0, 88.0, 0.443, 16.0, 0.375, 29.0, 0.69, 23.0, 20.0, 25.0, 15.0, 1.0, 16.0, 25.0, 104.0, 1.0, 1
1610612752.0, 68.0, 0.5, 13.0, 0.538, 21.0, 0.905, 2.0, 34.0, 22.0, 4.0, 5.0, 12.0, 21.0, 94.0, 0.0, 1610612737.0, 78.0, 0.333, 15.0, 0.267, 15.0, 0.867, 14.0, 26.0, 20.0, 6.0, 1.0, 17.0, 21.0, 69.0, 1.0, 1
1610612766.0, 62.0, 0.565, 9.0, 0.556, 40.0, 0.775, 7.0, 37.0, 16.0, 7.0, 6.0, 17.0, 23.0, 106.0, 0.0, 1610612737.0, 81.0, 0.37, 15.0, 0.4, 21.0, 0.762, 11.0, 18.0, 14.0, 9.0, 2.0, 13.0, 31.0, 82.0, 1.0, 1
1610612754.0, 88.0, 0.386, 15.0, 0.267, 30.0, 0.8, 11.0, 33.0, 26.0, 7.0, 4.0, 12.0, 26.0, 96.0, 0.0, 1610612738.0, 87.0, 0.425, 18.0, 0.222, 31.0, 0.774, 15.0, 38.0, 21.0, 7.0, 7.0, 13.0, 28.0, 102.0, 1.0, 2
1610612765.0, 82.0, 0.439, 14.0, 0.429, 16.0, 0.563, 10.0, 29.0, 19.0, 10.0, 3.0, 23.0, 26.0, 87.0, 0.0, 1610612738.0, 76.0, 0.474, 17.0, 0.529, 24.0, 0.75, 9.0, 27.0, 26.0, 9.0, 6.0, 20.0, 23.0, 99.0, 1.0, 2
1610612756.0, 79.0, 0.392, 21.0, 0.286, 21.0, 0.714, 7.0, 33.0, 23.0, 8.0, 5.0, 18.0, 26.0, 83.0, 0.0, 1610612738.0, 79.0, 0.418, 11.0, 0.455, 32.0, 0.875, 11.0, 35.0, 17.0, 11.0, 6.0, 15.0, 18.0, 99.0, 1.0, 2
1610612744.0, 77.0, 0.403, 23.0, 0.478, 28.0, 0.75, 10.0, 33.0, 26.0, 11.0, 4.0, 23.0, 24.0, 94.0, 0.0, 1610612738.0, 79.0, 0.405, 22.0, 0.364, 23.0, 0.826, 11.0, 30.0, 21.0, 14.0, 6.0, 20.0, 27.0, 91.0, 1.0, 1
1610612746.0, 81.0, 0.358, 16.0, 0.313, 28.0, 0.571, 16.0, 30.0, 22.0, 7.0, 4.0, 17.0, 14.0, 79.0, 0.0, 1610612738.0, 81.0, 0.432, 17.0, 0.353, 15.0, 0.4, 16.0, 34.0, 27.0, 10.0, 5.0, 17.0, 23.0, 82.0, 1.0, 2
1610612758.0, 79.0, 0.557, 25.0, 0.48, 14.0, 0.786, 10.0, 26.0, 31.0, 8.0, 9.0, 17.0, 17.0, 111.0, 0.0, 1610612738.0, 81.0, 0.506, 21.0, 0.571, 18.0, 0.667, 8.0, 24.0, 30.0, 13.0, 8.0, 15.0, 20.0, 106.0, 1.0, 1
1610612750.0, 73.0, 0.466, 18.0, 0.167, 41.0, 0.756, 10.0, 28.0, 25.0, 10.0, 6.0, 17.0, 31.0, 102.0, 0.0, 1610612738.0, 79.0, 0.456, 12.0, 0.25, 42.0, 0.762, 12.0, 27.0, 25.0, 8.0, 1.0, 14.0, 27.0, 107.0, 1.0, 2
1610612761.0, 75.0, 0.453, 9.0, 0.556, 31.0, 0.645, 10.0, 31.0, 23.0, 10.0, 7.0, 10.0, 23.0, 93.0, 0.0, 1610612738.0, 82.0, 0.366, 13.0, 0.154, 19.0, 0.526, 19.0, 31.0, 20.0, 5.0, 2.0, 17.0, 27.0, 72.0, 1.0, 1
1610612748.0, 71.0, 0.366, 23.0, 0.261, 23.0, 0.783, 10.0, 24.0, 17.0, 5.0, 2.0, 16.0, 24.0, 76.0, 0.0, 1610612738.0, 71.0, 0.465, 14.0, 0.286, 23.0, 0.783, 12.0, 28.0, 20.0, 9.0, 3.0, 16.0, 22.0, 88.0, 1.0, 2
1610612757.0, 78.0, 0.436, 16.0, 0.25, 32.0, 0.813, 15.0, 25.0, 20.0, 15.0, 6.0, 17.0, 12.0, 98.0, 0.0, 1610612738.0, 89.0, 0.427, 18.0, 0.167, 12.0, 0.917, 18.0, 28.0, 21.0, 14.0, 5.0, 21.0, 22.0, 90.0, 1.0, 1
1610612748.0, 77.0, 0.558, 18.0, 0.611, 18.0, 0.833, 6.0, 27.0, 28.0, 9.0, 6.0, 10.0, 17.0, 112.0, 0.0, 1610612738.0, 84.0, 0.452, 8.0, 0.625, 8.0, 0.625, 16.0, 27.0, 10.0, 6.0, 4.0, 16.0, 18.0, 86.0, 1.0, 1
1610612744.0, 80.0, 0.463, 10.0, 0.5, 27.0, 0.778, 11.0, 39.0, 24.0, 6.0, 6.0, 16.0, 16.0, 100.0, 0.0, 1610612738.0, 88.0, 0.386, 18.0, 0.278, 22.0, 0.682, 14.0, 26.0, 26.0, 9.0, 7.0, 13.0, 24.0, 88.0, 1.0, 1
1610612752.0, 63.0, 0.54, 13.0, 0.385, 30.0, 0.9, 5.0, 30.0, 19.0, 6.0, 5.0, 16.0, 20.0, 100.0, 0.0, 1610612738.0, 80.0, 0.425, 21.0, 0.429, 20.0, 0.7, 16.0, 22.0, 23.0, 8.0, 3.0, 16.0, 26.0, 91.0, 1.0, 1
1610612753.0, 82.0, 0.488, 12.0, 0.25, 14.0, 0.857, 13.0, 38.0, 23.0, 3.0, 3.0, 18.0, 23.0, 95.0, 0.0, 1610612738.0, 78.0, 0.41, 14.0, 0.143, 32.0, 0.75, 6.0, 30.0, 20.0, 10.0, 3.0, 9.0, 21.0, 90.0, 1.0, 1
