1610612760.0, 106.3, 121.5, -15.2, 0.615, 2.4, 17.5, 0.379, 0.8, 0.563, 10.5, 0.454, 0.49, 1.0, 94.0, 78.33, 95.0, 0.436, 0.0, 1610612737.0, 121.5, 106.3, 15.2, 0.595, 3.13, 19.7, 0.2, 0.621, 0.437, 8.6, 0.563, 0.601, 1.0, 94.0, 78.33, 93.0, 0.564, 1.0, 2
1610612766.0, 108.2, 116.2, -7.9, 0.605, 2.6, 18.0, 0.349, 0.786, 0.524, 10.3, 0.471, 0.483, 1.0, 98.0, 81.67, 97.0, 0.421, 0.0, 1610612737.0, 116.2, 108.2, 7.9, 0.558, 2.0, 18.9, 0.214, 0.651, 0.476, 12.1, 0.598, 0.63, 1.0, 98.0, 81.67, 99.0, 0.579, 1.0, 2
1610612738.0, 104.2, 115.8, -11.6, 0.649, 1.71, 18.5, 0.271, 0.786, 0.511, 14.7, 0.506, 0.541, 1.0, 95.0, 79.17, 95.0, 0.44, 0.0, 1610612737.0, 115.8, 104.2, 11.6, 0.683, 2.0, 21.4, 0.214, 0.729, 0.489, 14.7, 0.586, 0.619, 1.0, 95.0, 79.17, 95.0, 0.56, 1.0, 2
1610612753.0, 109.9, 126.5, -16.6, 0.698, 1.88, 20.4, 0.304, 0.738, 0.49, 15.8, 0.537, 0.549, 1.0, 101.5, 84.58, 101.0, 0.384, 0.0, 1610612737.0, 126.5, 109.9, 16.6, 0.681, 2.91, 22.5, 0.262, 0.696, 0.51, 10.8, 0.635, 0.651, 1.0, 101.5, 84.58, 102.0, 0.616, 1.0, 2
1610612749.0, 103.1, 123.7, -20.6, 0.632, 2.18, 19.0, 0.167, 0.58, 0.378, 11.3, 0.536, 0.549, 1.0, 97.0, 80.83, 97.0, 0.432, 0.0, 1610612737.0, 123.7, 103.1, 20.6, 0.447, 1.62, 15.4, 0.42, 0.833, 0.622, 13.4, 0.562, 0.584, 1.0, 97.0, 80.83, 97.0, 0.568, 1.0, 2
1610612743.0, 110.5, 103.2, 7.3, 0.65, 3.25, 19.6, 0.278, 0.724, 0.509, 8.4, 0.5, 0.531, 1.0, 94.0, 78.33, 95.0, 0.572, 0.0, 1610612737.0, 103.2, 110.5, -7.3, 0.526, 2.5, 15.4, 0.276, 0.722, 0.491, 8.6, 0.435, 0.469, 1.0, 94.0, 78.33, 93.0, 0.428, 1.0, 1
1610612762.0, 119.6, 106.5, 13.0, 0.512, 1.4, 16.9, 0.333, 0.765, 0.57, 16.3, 0.599, 0.625, 1.0, 92.0, 76.67, 92.0, 0.58, 0.0, 1610612737.0, 106.5, 119.6, -13.0, 0.595, 1.69, 17.7, 0.235, 0.667, 0.43, 14.1, 0.541, 0.548, 1.0, 92.0, 76.67, 92.0, 0.42, 1.0, 1
1610612744.0, 124.5, 108.7, 15.9, 0.705, 2.21, 21.1, 0.265, 0.733, 0.489, 13.7, 0.576, 0.625, 1.0, 103.0, 85.83, 102.0, 0.574, 0.0, 1610612737.0, 108.7, 124.5, -15.9, 0.553, 1.17, 15.9, 0.267, 0.735, 0.511, 17.3, 0.567, 0.605, 1.0, 103.0, 85.83, 104.0, 0.426, 1.0, 1
1610612756.0, 114.2, 111.4, 2.7, 0.578, 2.17, 19.2, 0.13, 0.719, 0.456, 11.3, 0.591, 0.622, 1.0, 105.5, 87.92, 106.0, 0.55, 0.0, 1610612737.0, 111.4, 114.2, -2.7, 0.429, 1.5, 13.1, 0.281, 0.87, 0.544, 11.4, 0.5, 0.546, 1.0, 105.5, 87.92, 105.0, 0.45, 1.0, 1
1610612762.0, 123.4, 104.3, 19.1, 0.732, 1.76, 21.7, 0.326, 0.8, 0.581, 18.1, 0.611, 0.637, 1.0, 94.0, 78.33, 94.0, 0.606, 0.0, 1610612737.0, 104.3, 123.4, -19.1, 0.514, 2.0, 14.9, 0.2, 0.674, 0.419, 9.6, 0.47, 0.524, 1.0, 94.0, 78.33, 94.0, 0.394, 1.0, 1
