TEAM_ID, FGA ,FG_PCT, FG3A, FG3_PCT, FTA, FT_PCT, OREB, DREB, AST, STL, BLK, TO, PF, PTS, HOME, TEAM_ID_O, FGA_O, FG_PCT_O, FG3A_O, FG3_PCT_O, FTA_O, FT_PCT_O, OREB_O, DREB_O, AST_O ,STL_O, BLK_O, TO_O, PF_O, PTS_O, HOME_O, LABEL
1610612753.0, 99.0, 0.354, 31.0, 0.161, 26.0, 0.923, 17.0, 29.0, 15.0, 8.0, 7.0, 10.0, 15.0, 99.0, 0.0, 1610612737.0, 84.0, 0.512, 30.0, 0.3, 15.0, 0.533, 9.0, 43.0, 22.0, 5.0, 9.0, 18.0, 26.0, 103.0, 1.0, 2
1610612765.0, 85.0, 0.412, 37.0, 0.27, 22.0, 0.909, 9.0, 30.0, 20.0, 6.0, 5.0, 13.0, 20.0, 100.0, 0.0, 1610612737.0, 86.0, 0.512, 31.0, 0.355, 21.0, 0.857, 8.0, 34.0, 27.0, 9.0, 2.0, 13.0, 15.0, 117.0, 1.0, 2
1610612747.0, 89.0, 0.438, 26.0, 0.269, 29.0, 0.759, 12.0, 24.0, 22.0, 5.0, 8.0, 15.0, 23.0, 107.0, 0.0, 1610612738.0, 93.0, 0.559, 34.0, 0.471, 29.0, 0.655, 14.0, 34.0, 31.0, 10.0, 5.0, 12.0, 26.0, 139.0, 1.0, 2
1610612756.0, 89.0, 0.472, 31.0, 0.419, 30.0, 0.867, 10.0, 42.0, 27.0, 6.0, 6.0, 15.0, 16.0, 123.0, 0.0, 1610612738.0, 96.0, 0.438, 42.0, 0.357, 22.0, 0.909, 4.0, 35.0, 26.0, 11.0, 6.0, 11.0, 24.0, 119.0, 1.0, 1
1610612749.0, 87.0, 0.494, 31.0, 0.516, 37.0, 0.703, 7.0, 43.0, 21.0, 6.0, 6.0, 10.0, 22.0, 128.0, 0.0, 1610612738.0, 98.0, 0.439, 49.0, 0.306, 27.0, 0.815, 10.0, 33.0, 16.0, 4.0, 7.0, 7.0, 25.0, 123.0, 1.0, 1
1610612765.0, 78.0, 0.603, 32.0, 0.375, 19.0, 0.526, 3.0, 31.0, 30.0, 8.0, 4.0, 11.0, 19.0, 116.0, 0.0, 1610612738.0, 83.0, 0.494, 28.0, 0.321, 20.0, 0.6, 13.0, 31.0, 21.0, 7.0, 2.0, 15.0, 17.0, 103.0, 1.0, 1
1610612741.0, 81.0, 0.457, 25.0, 0.24, 26.0, 0.808, 7.0, 31.0, 16.0, 5.0, 5.0, 14.0, 22.0, 101.0, 0.0, 1610612738.0, 83.0, 0.47, 23.0, 0.391, 29.0, 0.897, 10.0, 33.0, 28.0, 7.0, 6.0, 12.0, 19.0, 113.0, 1.0, 2
1610612740.0, 100.0, 0.4, 45.0, 0.311, 18.0, 0.611, 15.0, 28.0, 29.0, 4.0, 6.0, 16.0, 19.0, 105.0, 0.0, 1610612738.0, 100.0, 0.55, 29.0, 0.483, 18.0, 0.889, 10.0, 43.0, 29.0, 14.0, 3.0, 10.0, 23.0, 140.0, 1.0, 2
1610612755.0, 88.0, 0.489, 27.0, 0.407, 17.0, 0.706, 13.0, 35.0, 24.0, 6.0, 5.0, 12.0, 11.0, 109.0, 0.0, 1610612738.0, 88.0, 0.432, 36.0, 0.389, 8.0, 1.0, 8.0, 30.0, 17.0, 8.0, 1.0, 14.0, 16.0, 98.0, 1.0, 1
1610612759.0, 87.0, 0.552, 29.0, 0.31, 26.0, 0.923, 8.0, 41.0, 28.0, 9.0, 6.0, 14.0, 25.0, 129.0, 0.0, 1610612738.0, 89.0, 0.416, 38.0, 0.342, 30.0, 0.9, 8.0, 31.0, 26.0, 7.0, 2.0, 15.0, 20.0, 114.0, 1.0, 1
1610612764.0, 84.0, 0.464, 21.0, 0.333, 23.0, 0.609, 7.0, 40.0, 18.0, 8.0, 9.0, 14.0, 22.0, 99.0, 0.0, 1610612738.0, 95.0, 0.347, 37.0, 0.216, 26.0, 0.769, 16.0, 39.0, 17.0, 7.0, 8.0, 16.0, 20.0, 94.0, 1.0, 1
1610612741.0, 80.0, 0.425, 34.0, 0.382, 31.0, 0.742, 11.0, 26.0, 23.0, 15.0, 5.0, 15.0, 22.0, 104.0, 0.0, 1610612738.0, 82.0, 0.524, 19.0, 0.421, 21.0, 0.81, 13.0, 31.0, 22.0, 10.0, 5.0, 19.0, 22.0, 111.0, 1.0, 2
1610612766.0, 86.0, 0.395, 34.0, 0.353, 16.0, 0.75, 8.0, 33.0, 25.0, 7.0, 4.0, 17.0, 16.0, 92.0, 0.0, 1610612738.0, 97.0, 0.454, 38.0, 0.368, 10.0, 0.7, 15.0, 39.0, 25.0, 12.0, 9.0, 10.0, 16.0, 109.0, 1.0, 2
1610612761.0, 84.0, 0.524, 34.0, 0.412, 17.0, 0.647, 15.0, 38.0, 27.0, 8.0, 3.0, 22.0, 32.0, 113.0, 0.0, 1610612738.0, 78.0, 0.397, 32.0, 0.219, 36.0, 0.778, 7.0, 24.0, 18.0, 11.0, 4.0, 14.0, 17.0, 97.0, 1.0, 1
1610612739.0, 85.0, 0.518, 23.0, 0.391, 29.0, 0.69, 6.0, 32.0, 22.0, 7.0, 3.0, 11.0, 17.0, 117.0, 0.0, 1610612738.0, 95.0, 0.516, 40.0, 0.35, 19.0, 0.895, 12.0, 31.0, 28.0, 4.0, 10.0, 11.0, 23.0, 129.0, 1.0, 2
1610612761.0, 80.0, 0.475, 23.0, 0.348, 22.0, 0.818, 7.0, 27.0, 17.0, 13.0, 7.0, 17.0, 13.0, 102.0, 0.0, 1610612738.0, 92.0, 0.5, 33.0, 0.424, 14.0, 0.857, 13.0, 32.0, 26.0, 7.0, 3.0, 19.0, 22.0, 118.0, 1.0, 2
1610612766.0, 82.0, 0.402, 34.0, 0.294, 23.0, 0.739, 2.0, 25.0, 26.0, 3.0, 5.0, 3.0, 17.0, 93.0, 0.0, 1610612738.0, 88.0, 0.523, 32.0, 0.438, 16.0, 0.813, 10.0, 47.0, 25.0, 2.0, 9.0, 11.0, 24.0, 119.0, 1.0, 2
1610612765.0, 85.0, 0.4, 31.0, 0.355, 19.0, 0.737, 11.0, 25.0, 21.0, 13.0, 2.0, 24.0, 16.0, 93.0, 0.0, 1610612738.0, 86.0, 0.523, 27.0, 0.333, 21.0, 0.714, 13.0, 38.0, 24.0, 13.0, 9.0, 20.0, 19.0, 114.0, 1.0, 2
